effort_category,occupation,coins_earned,peer_category,bank_category,completed_games,started_games,session_time,games_last_90days,games_last_120days,games_last_150days,games_last_180days,games_last_210days,games_last_240days,games_last_270days,games_last_300days,games_last_330days,games_last_366days,angry_birds,cars,cricket,football,snooker,hockey,uninstalled_next_60d,age_rounded_closest_ten,fun_quotient
MEDIUM,Housewife,-1,tier iii,Scheduled PSU,154,1785,35606,22,20,18,17,14,22,1,0,0,0,0,150,1,3,0,0,0,30,2
LOW,Business,49,tier iii,Scheduled PSU,14,158,3160,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,1,20,2
LOW,Business,-1,tier iii,Scheduled PSU,13,28,20,0,0,0,0,0,1,0,0,0,0,0,0,1,12,0,0,0,20,2
MEDIUM,0,-206,tier iii,Scheduled PSU,120,1640,32418,16,27,7,21,17,32,0,0,0,0,0,93,25,0,1,0,1,20,2
MEDIUM,Government Service,-71,tier ii,Scheduled PSU,90,173,1257,4,10,14,12,30,15,1,0,0,0,0,0,25,65,0,0,0,30,3
MEDIUM,Private Sector Service,0,tier iii,Scheduled PSU,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,20,2
MEDIUM,Private Sector Service,0,tier iii,Scheduled Private Bank,5,10,10,0,0,0,0,0,4,1,0,0,0,0,0,1,4,0,0,1,20,2
MEDIUM,Private Sector Service,-1,tier iii,Scheduled Private Bank,4,7,1,0,0,1,2,0,1,0,0,0,0,0,0,2,2,0,0,1,30,3
MEDIUM,Private Sector Service,-52,tier iii,Small Finance bank,69,331,5819,21,24,2,0,0,0,0,0,0,0,0,34,13,22,0,0,0,20,2
MEDIUM,Student,0,tier iii,Scheduled PSU,2,4,3,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,20,1
MEDIUM,Private Sector Service,58,tier ii,Scheduled Private Bank,22,73,1220,0,0,0,1,12,5,0,0,0,0,0,11,1,10,0,0,0,20,2
MEDIUM,Government Service,-14,tier iii,Scheduled PSU,25,202,3861,13,7,0,0,0,0,0,0,0,0,0,19,1,5,0,0,1,30,2
MEDIUM,Student,9,tier iii,Scheduled PSU,29,42,82,1,8,7,6,6,1,0,0,0,0,0,0,3,26,0,0,0,20,2
MEDIUM,0,0,tier iii,Scheduled PSU,4,9,1,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,1,20,2
MEDIUM,Private Sector Service,42,tier ii,Scheduled Private Bank,113,333,2991,14,10,15,27,22,4,0,0,0,0,0,11,27,75,0,0,0,20,2
LOW,Business,70,tier iii,Scheduled Private Bank,140,317,2966,19,20,17,12,21,25,0,0,0,0,0,26,22,90,0,0,0,20,2
MEDIUM,Agriculturist,88,tier ii,Scheduled PSU,9,40,700,0,0,0,1,0,2,0,0,0,0,0,0,6,3,0,0,0,30,2
MEDIUM,Private Sector Service,134,tier ii,Scheduled Private Bank,77,192,3165,12,3,7,4,4,13,0,0,0,0,0,0,52,25,0,0,0,30,2
HIGH,Agriculturist,-62,tier iii,Scheduled PSU,49,115,960,11,12,2,0,3,3,0,0,0,0,0,13,2,34,0,0,0,40,2
